iter	Passed	Remaining
961	1907	13956
962	1909	13953
963	1911	13950
964	1912	13945
965	1914	13940
966	1916	13935
967	1917	13931
968	1919	13927
969	1920	13921
970	1922	13919
971	1924	13914
972	1926	13910
973	1927	13906
974	1929	13902
975	1931	13897
976	1932	13894
977	1934	13892
978	1936	13888
979	1938	13882
980	1939	13878
981	1941	13874
982	1942	13868
983	1944	13863
984	1945	13857
985	1947	13854
986	1948	13847
987	1950	13841
988	1951	13837
989	1953	13832
990	1955	13827
991	1956	13822
992	1958	13818
993	1959	13813
994	1961	13808
995	1963	13804
996	1964	13800
997	1966	13794
998	1967	13789
999	1969	13785
1000	1970	13780
1001	1972	13775
1002	1973	13769
1003	1975	13762
1004	1976	13757
1005	1978	13754
1006	1980	13750
1007	1981	13747
1008	1983	13740
1009	1984	13734
1010	1985	13727
1011	1987	13722
1012	1988	13717
1013	1990	13711
1014	1991	13707
1015	1994	13708
1016	1996	13707
1017	1997	13702
1018	1999	13698
1019	2001	13694
1020	2002	13690
1021	2004	13686
1022	2006	13681
1023	2007	13679
1024	2009	13675
1025	2011	13672
1026	2013	13668
1027	2014	13663
1028	2016	13658
1029	2017	13654
1030	2019	13650
1031	2021	13646
1032	2022	13642
1033	2024	13637
1034	2025	13633
1035	2027	13630
1036	2029	13630
1037	2033	13637
1038	2035	13634
1039	2037	13632
1040	2038	13629
1041	2040	13624
1042	2041	13619
1043	2043	13615
1044	2045	13610
1045	2046	13606
1046	2048	13601
1047	2049	13596
1048	2051	13592
1049	2052	13588
1050	2054	13584
1051	2056	13584
1052	2059	13588
1053	2062	13591
1054	2064	13589
1055	2066	13586
1056	2069	13591
1057	2071	13588
1058	2072	13586
1059	2074	13581
1060	2076	13578
1061	2077	13574
1062	2079	13571
1063	2081	13570
1064	2083	13570
1065	2086	13574
1066	2088	13571
1067	2090	13568
1068	2091	13563
1069	2093	13558
1070	2095	13554
1071	2096	13550
1072	2098	13547
1073	2100	13542
1074	2101	13538
1075	2103	13533
1076	2104	13527
1077	2105	13521
1078	2107	13515
1079	2108	13511
1080	2110	13506
1081	2111	13501
1082	2113	13496
1083	2114	13492
1084	2116	13487
1085	2117	13483
1086	2119	13478
1087	2120	13472
1088	2122	13467
1089	2123	13462
1090	2125	13458
1091	2126	13452
1092	2128	13450
1093	2130	13447
1094	2131	13444
1095	2133	13438
1096	2135	13435
1097	2136	13432
1098	2138	13428
1099	2140	13423
1100	2141	13418
1101	2143	13420
1102	2145	13415
1103	2146	13410
1104	2148	13405
1105	2150	13401
1106	2151	13398
1107	2153	13393
1108	2154	13389
1109	2156	13384
1110	2157	13378
1111	2159	13374
1112	2160	13370
1113	2162	13366
1114	2164	13362
1115	2165	13358
1116	2167	13354
1117	2168	13349
1118	2170	13345
1119	2171	13341
1120	2173	13336
1121	2175	13333
1122	2176	13329
1123	2178	13326
1124	2180	13324
1125	2181	13320
1126	2183	13316
1127	2185	13311
1128	2186	13307
1129	2188	13303
1130	2189	13299
1131	2191	13295
1132	2193	13291
1133	2194	13286
1134	2196	13283
1135	2197	13279
1136	2199	13274
1137	2200	13268
1138	2202	13264
1139	2203	13262
1140	2205	13258
1141	2207	13254
1142	2208	13249
1143	2210	13246
1144	2211	13242
1145	2213	13238
1146	2215	13234
1147	2216	13229
1148	2217	13223
1149	2219	13220
1150	2220	13214
1151	2222	13209
1152	2223	13205
1153	2225	13200
1154	2226	13196
1155	2228	13192
1156	2229	13187
1157	2231	13183
1158	2232	13180
1159	2234	13176
1160	2236	13172
1161	2238	13173
1162	2241	13176
1163	2243	13175
1164	2245	13173
1165	2247	13171
1166	2249	13169
1167	2251	13166
1168	2252	13164
1169	2254	13162
1170	2256	13160
1171	2258	13157
1172	2260	13156
1173	2263	13161
1174	2265	13161
1175	2267	13159
1176	2270	13162
1177	2272	13158
1178	2274	13158
1179	2276	13158
1180	2278	13157
